x_coordinate,y_coordinate,Cell_Type,TCN_Label
1546.213115,15.96721311,Treg,5
4478.759207,86.01133144,Treg,5
1910.083333,136.6111111,Stroma,5
1930.516279,137.1906977,Stroma,5
1627.949153,136.3559322,Stroma,5
1742.0,137.0,Tumor,5
1717.36478,141.9433962,MPtoDC,5
1964.45098,143.9803922,Stroma,5
1612.277778,145.3888889,Stroma,5
1598.946667,148.4,Stroma,5
1633.106557,148.3934426,Stroma,5
1696.759921,151.0892857,Stroma,5
2037.714286,153.0408163,Stroma,5
1833.77686,153.2190083,Epithelial,5
1952.42953,151.8255034,Stroma,5
1975.724771,153.4678899,Stroma,5
1582.946188,154.0224215,Treg,5
1926.464945,158.1217712,Stroma,5
2019.753846,163.56,Stroma,5
1723.092896,164.571949,Thelp,5
1996.580271,164.270793,Stroma,5
1968.439437,169.7746479,Stroma,5
1638.784314,177.6176471,Stroma,5
1700.050633,176.835443,Stroma,5
1464.109091,187.2,Stroma,5
2131.11399,199.5906736,Stroma,5
1874.860465,199.1162791,Stroma,5
1234.969101,200.8876404,Treg,5
1560.069401,204.6624606,Stroma,5
2109.466321,206.1709845,Stroma,5
1889.643564,207.3366337,Stroma,5
1527.0,209.5436893,Stroma,5
1930.258065,211.6451613,Stroma,5
1807.30303,213.9393939,Stroma,5
1547.423077,213.6373626,Stroma,5
1459.22963,215.3259259,Stroma,5
1566.230088,218.3893805,Stroma,5
1267.094987,221.7361478,Tcyt,5
1736.580169,221.3291139,Stroma,5
1880.456395,219.3081395,Stroma,5
2210.836412,221.9419525,Stroma,5
1301.717391,222.9434783,Epithelial,5
1772.681818,223.4520202,Stroma,5
1498.841652,224.0172117,Treg,5
1961.972018,227.3784978,Thelp,5
2175.30137,224.8721461,Stroma,5
1641.666667,226.3333333,Stroma,5
1671.12037,228.6666667,Stroma,5
1222.425,228.475,Thelp,5
1533.824859,231.2655367,Stroma,5
1550.030303,230.6363636,Stroma,5
2055.210526,233.0,Stroma,5
1289.944954,237.146789,Epithelial,5
1378.216287,246.7876221,Treg,5
1942.0625,242.5842391,Stroma,5
1859.252669,244.2669039,Stroma,5
1891.439276,246.2428941,Stroma,5
1795.740933,247.6183074,Stroma,5
1562.073394,249.9480122,Stroma,5
1585.575439,251.0736842,Stroma,5
1843.588235,250.7310924,Stroma,5
1824.085586,250.4774775,Stroma,5
1178.222734,253.2995392,Epithelial,5
2320.408163,253.6122449,Stroma,5
1266.331633,253.0918367,Stroma,5
1325.540741,253.137037,Epithelial,5
2330.652174,257.1304348,Stroma,5
2226.391304,258.2173913,Stroma,5
1871.916784,259.4753173,Stroma,5
1483.402062,259.6082474,Stroma,5
2338.066667,260.2666667,Stroma,5
1043.272727,259.6797521,Tcyt,1
1229.051339,260.3727679,Treg,5
1497.883408,259.9686099,Stroma,5
2491.205607,260.635514,Stroma,5
2234.341085,262.5891473,Treg,5
2314.2,265.6,Stroma,5
1476.489362,266.7659574,Stroma,5
1518.422872,268.4946809,Treg,5
2019.645244,269.6529563,Stroma,5
1253.505824,271.1547421,Tcyt,5
1629.525943,270.8419811,Stroma,5
1905.109589,271.5684932,Stroma,5
1587.615566,271.4198113,Stroma,5
1923.277778,272.7361111,Stroma,5
2611.945946,272.8198198,Stroma,5
3322.104938,273.4382716,Epithelial,5
1943.987013,275.6883117,Stroma,5
1550.488889,278.0222222,Stroma,5
1567.369231,277.3641026,Stroma,5
953.4960938,278.5507813,Tumor,1
1735.5,279.0833333,Stroma,5
2741.0,279.5,Stroma,5
2604.0,280.8,Stroma,5
2032.264706,283.0,Stroma,5
982.0,283.3809524,Tumor,1
1765.538835,284.8300971,Stroma,5
2566.636364,288.6363636,Stroma,5
2036.791667,288.6666667,Stroma,5
909.4496124,289.4883721,Tumor,1
3183.040146,287.9270073,Stroma,5
2020.574913,290.6655052,Stroma,5
1252.663683,292.0601023,Treg,5
2494.355556,290.637037,Stroma,5
2364.846154,291.4615385,Treg,5
1212.058824,291.372549,Treg,5
3327.0,294.2926829,Epithelial,5
2629.35873,296.6698413,Stroma,5
2591.424658,295.2785388,Stroma,5
3375.871508,300.5195531,Epithelial,5
1507.481818,299.3,Stroma,5
1795.895652,299.4869565,Stroma,5
1816.337325,301.1177645,Stroma,5
958.6651163,300.9162791,Tumor,1
1009.064516,302.5806452,Tumor,1
1223.105384,307.0882016,Treg,5
3320.264706,306.1372549,Epithelial,5
3428.454403,305.4496855,MPtoDC,5
1629.188341,306.4573991,Treg,5
1982.069444,307.3819444,Bcell,5
1658.813636,307.5227273,Stroma,5
1674.941935,307.5677419,Stroma,5
2845.996016,306.7589641,Treg,5
2753.674641,307.3110048,Stroma,5
2827.159664,310.2605042,Treg,5
2813.716312,312.0638298,Treg,5
3281.289116,310.2772109,Treg,5
1008.895455,315.9681818,Tumor,1
2250.904762,314.047619,Stroma,5
2878.723684,316.5131579,Stroma,5
1302.629808,315.2692308,Stroma,5
1314.681818,317.3295455,Tcyt,5
2794.713208,317.4075472,Treg,5
947.6136364,318.6363636,Tumor,1
2299.882716,319.037037,Stroma,5
1328.915179,321.2678571,Tcyt,5
3200.275862,321.5862069,Stroma,5
3156.301282,321.1089744,Stroma,5
3120.235595,322.0320102,Treg,5
1973.763793,324.2293103,Bcell,5
1374.866734,324.3204476,Treg,5
2285.065574,324.9057377,Stroma,5
3250.153846,325.5384615,Stroma,5
1762.194564,327.9885551,Stroma,5
2375.263547,328.3004926,Stroma,5
2098.847645,331.9944598,Stroma,5
960.5060241,330.3614458,Stroma,1
2142.449057,331.1698113,Stroma,5
2476.817073,332.4186992,Stroma,5
3165.07732,331.4742268,Stroma,5
3277.755208,333.3107639,Thelp,5
3064.287879,334.6818182,Stroma,5
2122.946197,334.5565863,Stroma,5
2327.337778,335.3688889,Stroma,5
1699.933333,337.0083333,Stroma,5
928.4456522,337.9782609,Tumor,1
1248.89726,336.1643836,Treg,5
1126.198642,337.5483871,Stroma,1
1174.954545,340.4431818,Treg,5
1403.47569,340.8186597,Treg,5
3477.368304,338.8705357,Treg,5
934.6720698,353.5012469,Stroma,1
1775.227273,343.2545455,Epithelial,5
1819.352645,340.8236776,Stroma,5
2936.2393,345.2645914,Stroma,5
1232.469349,345.3505747,Treg,5
917.8958333,345.2395833,Tumor,1
2492.333913,347.7356522,Epithelial,5
956.641791,345.7164179,Tumor,1
1868.006085,346.7464503,Treg,5
1063.535714,346.5833333,Tumor,1
1188.474026,348.8896104,Treg,5
997.3571429,350.0,Stroma,1
1626.034921,349.2698413,Stroma,5
3115.181818,350.4761905,Stroma,5
1897.630435,350.7282609,Stroma,5
1957.885714,351.3333333,Thelp,5
3461.478261,351.526087,Epithelial,5
2244.34058,352.2753623,Stroma,5
1677.64127,354.3650794,Stroma,5
2746.060914,354.3502538,Stroma,5
2223.13961,356.0162338,Stroma,5
1502.680307,355.3337596,Thelp,5
3127.008475,356.5508475,Stroma,5
3171.546392,356.1443299,Thelp,5
1939.247423,356.6494845,Treg,5
2892.964286,357.5089286,Stroma,5
1336.995918,354.1278912,Stroma,5
965.1103448,356.9724138,Tumor,1
2242.315789,358.5,Stroma,5
2545.0,358.2857143,Stroma,5
744.2321792,360.0488798,Tumor,1
1048.573152,365.5987934,Tumor,1
1218.034188,359.6794872,Treg,5
1751.582547,360.120283,Stroma,5
2847.773124,359.965096,Treg,5
3490.65651,361.7146814,Treg,5
1530.859532,361.826087,Treg,5
3101.412935,363.1716418,Stroma,5
719.3448276,364.4482759,Stroma,1
1397.934896,364.0078125,Treg,5
2325.457237,364.4473684,Stroma,5
708.827957,367.5537634,Tumor,1
2864.05,366.575,Stroma,5
2622.661685,367.298913,Treg,5
1824.25,367.8662791,Stroma,5
1843.2,367.7066667,Stroma,5
3184.736264,368.6996337,Stroma,5
889.8538622,369.0939457,Tumor,1
2963.051282,369.4957265,Stroma,5
3143.436765,369.6029412,Treg,5
911.5859873,372.3694268,Tumor,1
1021.074074,372.8148148,Stroma,1
1907.808219,374.6712329,Stroma,5
3198.606061,372.6464646,Stroma,5
2841.056338,373.6690141,Treg,5
1151.567932,368.4911392,MPtoDC,1
2258.416452,374.5449871,Stroma,5
1990.844612,376.5764411,Stroma,5
2205.12963,376.9722222,Stroma,5
1087.659259,379.0592593,Stroma,1
2113.205128,379.6080586,Stroma,5
2220.691176,379.4117647,Stroma,5
763.3846154,378.3846154,Tumor,1
1292.815126,380.605042,Tcyt,5
3257.741514,380.7493473,Stroma,5
2318.785714,381.6428571,Stroma,5
2241.642384,383.2119205,Stroma,5
784.6784566,383.7926045,Stroma,1
2382.215054,383.3978495,Stroma,5
2086.85947,384.9796334,Stroma,5
1644.818951,384.8747885,Thelp,5
1361.747143,384.5842857,Tcyt,5
1429.400749,390.6507491,Treg,5
2137.185841,390.539823,Treg,5
3432.436782,391.7701149,Thelp,5
1840.973294,394.5163205,Stroma,5
2933.846154,394.5714286,Stroma,5
2989.567308,395.3425481,Treg,5
1056.714286,396.0,Tumor,1
2914.309417,395.2668161,Stroma,5
3258.222222,395.5,Stroma,5
585.3727273,396.2272727,Tumor,1
813.5704698,396.557047,Stroma,1
1558.217765,396.3510029,Treg,5
1691.1,399.05,MPtoDC,5
2020.749245,399.0120846,Stroma,5
2607.866667,399.4666667,Stroma,5
824.0119048,399.1785714,Stroma,1
1277.731148,401.0622951,Tcyt,5
1295.327044,400.4654088,Tcyt,5
1651.413793,399.2758621,MPtoDC,5
1623.133011,401.3603386,Treg,5
1015.415385,404.8153846,Tumor,1
789.2151899,405.1139241,Tumor,1
1550.723077,405.3846154,Treg,5
835.2985612,405.9820144,Stroma,1
811.0277778,406.9074074,MPtoDC,1
1092.73499,407.8240166,Tumor,1
800.4777778,406.4555556,Stroma,1
2120.183417,408.9120603,Stroma,5
1563.256098,409.0365854,Treg,5
1792.932836,410.9365672,Stroma,5
1776.557214,410.3532338,Stroma,5
1124.805927,418.0191205,Tumor,1
2917.442308,413.1153846,Stroma,5
